name,category_code,founded_year,number_of_employees,raised_money_dollars,lat,lng,design_near,similar_near,succesful_near,Score1,schools,starbucks,bars,vegan_rests,airports,Score2,Total_score
SocialVibe,advertising,2007,80,43900000,34.0815238,-118.3826743,2,14,2,2.1833333333333336,10,1,19,4,3,0.9711255411255411,3.1544588744588746
Doostang,web,2005,10,5750000,37.427235,-122.145783,0,15,8,2.0,14,2,9,6,2,0.9647186147186146,2.9647186147186146
SayNow,mobile,2005,20,7500000,37.42746,-122.143915,0,15,8,2.0,15,1,8,9,2,0.94495670995671,2.9449567099567098
plaYce,games_video,2008,7,0,37.80204,-122.438231,1,11,3,1.6083333333333334,20,3,20,2,0,1.2857142857142858,2.894047619047619
Silver Tail Systems,analytics,2008,90,22100000,37.4280877,-122.143368,0,15,8,2.0,15,1,7,5,2,0.8535281385281386,2.8535281385281386
Boxbe,web,2005,3,1500000,37.800209,-122.442592,1,12,3,1.675,20,1,20,1,0,1.1011904761904763,2.776190476190476
IGOpeople,network_hosting,2008,4,0,53.336139,-6.249789,1,9,2,1.35,20,3,20,1,3,1.404220779220779,2.754220779220779
PerfectBusiness,web,2008,10,0,33.995974,-118.456709,2,7,2,1.7166666666666668,11,1,2,1,11,0.9711904761904762,2.687857142857143
ftopia,software,2009,7,0,53.3328144,-6.2493777,1,9,2,1.35,20,3,20,2,1,1.3311688311688312,2.681168831168831
Making Sense,software,2006,100,0,-34.5892808,-58.43297,2,3,0,1.2,20,1,20,3,2,1.227813852813853,2.427813852813853
Woonky,public_relations,2008,10,0,-34.5892412,-58.434789,2,3,0,1.2,20,1,20,3,2,1.227813852813853,2.427813852813853
Bumblehood,software,2006,17,0,48.1319712,11.5696891,1,6,1,1.025,20,2,20,12,0,1.3809523809523807,2.405952380952381
vufind,mobile,2010,7,930000,37.424614,-122.145153,0,11,6,1.4833333333333334,10,2,9,6,2,0.8447186147186148,2.3280519480519484
Yedda,web,2006,5,2500000,32.0554,34.7595,0,9,5,1.225,20,1,16,5,0,1.0926190476190476,2.317619047619048
Boxee,software,2004,45,26500000,32.0554,34.7595,0,9,5,1.225,20,1,16,5,0,1.0926190476190476,2.317619047619048
